101,Rok,Cislo,Strana
001587209,1950,174,3
001587210,1950,222,3
001587211,1950,211,3
001587212,1950,285,3
001587213,1950,272,3
001587214,1950,261,3
001587215,1950,248,3
001587216,1950,235,3
001587217,1950,311,3
001587218,1950,298,3
001587225,1904,51,2
001587226,1904,270,2
001587227,1949,339,7
001587228,1949,250,8
001587229,1949,238,2
001587230,1949,612,1
001587231,1949,612,1
001587232,1904,279,2
001587233,1946,611,3
001587283,1947,603,2
001587284,1947,480,3
001587285,1947,316,3
001587286,1918,358,2
001587287,1918,329,4
001587288,1918,10,3
001587289,1933,569,2
001587294,1935,647,22
001587295,1935,647,23
001587296,1935,616,6
001587297,1935,618,7
001587305,1935,96,1
001587306,1935,96,3
001587307,1935,104,7
001587308,1935,498,3
001587309,1935,592,5
001587310,1944,591,12
001587316,1929,386,9
001587336,1947,136,2
001587337,1947,124,7
001587338,1947,4,7
001587348,1935,61,1
001587373,1940,218,7
001587378,1941,275,9
001587379,1939,485,10
001587380,1939,598,9
001587381,1939,446,10
001587382,1939,403,9
001587383,1939,164,9
001587387,1938,220,3
001587391,1919,26,2
001587417,1935,172,7
001587429,1919,178,3
001587550,1948,463,2
001587559,1947,202,3
001587560,1918,304,1
001587561,1917,122,5
001587612,1918,161,5
001587683,1918,205,3
001587831,1941,611,9
001587841,1947,24,2
001587847,1948,298,7
001587848,1918,221,1
001587851,1946,117,10
001587861,1947,161,7
001587944,1946,180,9
001587948,1929,169,9
001587961,1943,649,6
001587962,1941,393,7
001587965,1941,593,10
001587966,1941,457,7
001587970,1943,606,9
001587971,1943,397,9
001587972,1943,350,7
001587973,1943,196,7
001587975,1936,201,7
001587976,1938,53,9
001587977,1944,245,9
001587978,1939,14,9
001587980,1933,2,7
001587981,1944,460,9
001587982,1936,626,8
001587984,1909,258,4
001587995,1948,450,7
001587996,1948,116,7
001588004,1947,423,7
001588057,1909,33,2
001588078,1919,71,1
001588098,1933,212,1
001588101,1934,613,2
001588104,1935,558,1
001588105,1935,592,3
001588106,1935,594,7
001588107,1935,632,7
001588113,1936,236,7
001588116,1937,277,9
001588118,1937,574,7
001588120,1938,600,1
001588121,1938,648,12
001588124,1943,161,4
001588125,1943,301,9
001588126,1943,309,9
001588127,1943,387,2
001588129,1945,190,1
001588146,1919,78,1
001588186,1938,653,1
001588191,1924,13,4
001588194,1924,306,NaN
001588195,1924,339,NaN
001588196,1924,343,1
001588199,1925,45,1
001588203,1925,356,2
001588221,1944,586,6
001588223,1948,40,7
001588239,1941,512,2
001588254,1939,4,5
001588256,1944,620,4
001588269,1944,347,7
001588279,1947,48,3
001588280,1947,46,2
001588346,1938,196,5
001588350,1947,175,5
001588351,1943,531,9
001588354,1947,174,2
001588396,1939,401,1
001588540,1939,344,9
001588548,1943,577,2
001588558,1919,326,1
001588563,1935,616,1
001588591,1928,217,5
001588592,1928,287,10
001588593,1936,576,7
001588601,1902,2,2
001588617,1919,257,3
001588618,1917,33,5
001588619,1918,272,3
001588632,1943,172,9
001588633,1945,99,9
001588634,1942,235,9
001588636,1942,182,9
001588637,1946,327,7
001588661,1928,127,9
001588662,1940,537,9
001588663,1929,605,7
001588743,1945,596,2
001588744,1945,598,4
001588773,1949,98,9
001588777,1946,607,7
001588805,1938,348,7
001588806,1947,417,7
001588807,1947,327,3
001588809,1948,7,7
001588810,1948,224,9
001588811,1919,334,3
001588820,1946,18,7
001588829,1948,498,7
001588834,1946,239,7
001588835,1946,1,9
001588836,1941,222,9
001588892,1902,2,2
001588900,1919,189,4
001588901,1919,228,3
001588902,1919,329,1
001588903,1919,328,3
001588904,1918,6,3
001588905,1918,321,3
001588910,1947,351,2
001588948,1945,279,3
001589010,1946,332,5
001589011,1935,526,7
001589029,1946,176,7
001589039,1939,331,9
001589050,1941,91,9
001589052,1944,354,9
001589053,1946,526,6
001589054,1940,305,9
001589061,1945,521,7
001589076,1945,370,3
001589079,1945,367,3
001589093,1936,96,7
001589094,1949,96,7
001589107,1943,142,9
001589109,1945,523,7
001589118,1937,275,7
001589122,1943,531,9
001589152,1936,302,7
001589162,1936,322,7
001589165,1939,379,3
001589173,1941,133,9
001589182,1947,22,7
001589387,1943,589,2
001589407,1909,115,3
001589408,1947,419,7
001589413,1935,477,7
001589415,1937,512,7
001589416,1937,581,7
001589418,1945,288,7
001589419,1938,562,9
001589427,1945,161,4
001589429,1948,138,9
001589486,1928,500,9
001589490,1929,605,7
001589496,1938,241,1
001589518,1945,12,7
001589583,1938,273,5
001589771,1945,61,4
001589779,1919,329,1
001589781,1939,431,1
001589793,1945,90,9
001589794,1943,263,9
001589831,1902,17,4
001589838,1945,330,7
001589839,1945,157,9
001589840,1945,259,1
001589841,1945,20,2
001589842,1943,198,9
001589869,1937,648,7
001589870,1937,600,7
001589871,1937,508,7
001589888,1932,23,5
001589889,1934,124,7
001589890,1934,582,9
001589892,1943,268,9
001589893,1943,131,9
001589894,1943,33,9
001589895,1943,7,2
001589896,1943,339,7
001589959,1942,41,9
001589974,1945,40,2
001589975,1945,38,3
001589977,1943,526,9
001589990,1943,22,1
001590014,1917,237,3
001590021,1944,217,9
001590022,1944,160,9
001590023,1946,226,7
001590024,1946,57,7
001590028,1941,531,9
001590038,1951,29,4
001590040,1948,255,7
001590052,1949,519,7
001590054,1949,81,7
001590068,1936,639,6
001590080,1946,337,7
001590084,1919,42,1
001590129,1938,271,7
001590143,1947,120,7
001590144,1941,70,9
001590145,1939,235,9
001590146,1938,213,9
001590147,1944,356,7
001590148,1944,128,9
001590149,1935,26,9
001590160,1941,50,9
001590161,1938,540,9
001590166,1935,493,7
001590188,1941,561,9
001590189,1935,288,7
001590195,1939,499,7
001590196,1939,603,9
001590203,1919,50,1
001590221,1939,418,9
001590222,1947,353,7
001590224,1940,447,9
001590235,1947,68,4
001590237,1946,626,3
001590239,1947,68,2
001590242,1947,2,5
001590272,1936,345,7
001590273,1936,478,8
001590274,1936,311,3
001590280,1939,442,7
001590302,1946,337,7
001590304,1940,40,10
001590317,1941,10,9
001590318,1942,358,9
001590319,1939,14,9
001590321,1941,654,5
001590322,1941,483,9
001590334,1935,498,3
001590371,1945,118,9
001590372,1945,58,9
001590373,1936,137,7
001590374,1943,144,9
001590375,1943,215,9
001590376,1943,273,9
001590377,1943,329,9
001590378,1935,609,9
001590379,1941,217,11
001590380,1938,508,9
001590381,1941,322,10
001590382,1945,630,9
001590383,1937,187,7
001590384,1938,148,9
001590385,1936,22,7
001590386,1929,626,7
001590387,1929,643,9
001590388,1941,636,10
001590393,1936,647,9
001590395,1945,263,7
001590396,1945,4,10
001590397,1945,650,7
001590398,1945,639,7
001590399,1945,347,7
001590400,1943,597,10
001590401,1944,191,7
001590402,1945,66,9
001590420,1938,379,7
001590427,1945,568,7
001590428,1948,70,7
001590429,1945,645,7
001590430,1949,118,7
001590438,1941,406,9
001590439,1947,432,7
001590694,1935,614,7
001590703,1938,616,9
001590710,1918,183,1
001590735,1945,21,2
001590807,1945,609,8
001590825,1939,194,7
001590837,1936,244,3
001590903,1945,129,9
001590904,1934,101,7
001590907,1935,539,7
001590912,1941,644,12
001590921,1946,105,2
001590939,1935,555,7
001590949,1936,148,7
001590950,1936,313,7
001590961,1941,495,9
001590992,1935,107,7
001590993,1935,122,7
001590994,1935,174,7
001591001,1945,340,7
001591054,1946,85,7
001591067,1941,575,2
001591305,1936,218,7
001591373,1939,272,3
001591376,1936,355,9
001591390,1948,604,7
001591393,1935,91,9
001591397,1944,485,3
001591404,1904,100,2
001591414,1938,16,9
001591418,1945,310,2
001591444,1946,191,7
001591463,1943,79,9
001591473,1946,324,7
001591474,1946,279,7
001591475,1946,189,7
001591476,1946,122,7
001591477,1944,622,9
001591481,1944,491,9
001591482,1939,142,9
001591483,1939,632,9
001591485,1948,508,9
001591486,1939,575,2
001591503,1935,229,7
001591507,1938,44,9
001591508,1947,579,3
001591509,1942,535,9
001591618,1935,364,7
001591627,1946,40,5
001591628,1949,98,10
001591629,1943,62,5
001591630,1945,79,9
001591631,1943,476,9
001591632,1948,534,1
001591633,1903,71,3
001591634,1947,462,7
001591635,1929,447,9
001591699,1943,231,1
001591734,1938,409,7
001591735,1943,150,9
001591749,1936,654,7
001591756,1949,209,7
001591835,1939,362,9
001591840,1941,600,9
001591843,1944,270,9
001591844,1944,149,9
001591846,1933,25,7
001591847,1939,233,9
001591848,1939,133,9
001591849,1938,77,7
001591850,1935,176,7
001591851,1935,396,7
001591879,1947,42,4
001591880,1937,21,5
001591884,1938,85,2
001591907,1936,432,9
001591940,1917,66,7
001591941,1947,37,8
001591942,1947,522,7
001591943,1947,211,9
001591945,1948,498,7
001591946,1948,606,7
001591966,1935,581,7
001591980,1944,644,2
001591981,1945,223,2
001592025,1902,183,2
001592026,1947,456,7
001592027,1948,272,7
001592030,1945,537,5
001592040,1929,351,9
001592080,1935,523,9
001592082,1933,39,2
001592085,1933,25,7
001592109,1936,76,8
001592123,1941,87,9
001592124,1946,658,7
001592125,1946,88,2
001592126,1946,325,8
001592128,1947,4,3
001592129,1941,169,2
001592130,1947,31,7
001592131,1947,1,2
001592160,1935,619,7
001592166,1939,564,9
001592294,1947,55,3
001592345,1919,287,2
001592383,1936,659,1
001592694,1938,421,5
001592695,1938,403,7
001592703,1935,16,7
001592704,1935,104,9
001592725,1943,22,9
001592810,1936,595,7
001592818,1944,43,1
001592845,1946,189,7
001592846,1946,616,7
001592849,1944,52,9
001592850,1947,33,7
001592853,1947,528,7
001592854,1947,320,7
001592855,1948,231,8
001592856,1943,88,5
001592857,1943,85,9
001592858,1944,221,10
001592859,1944,500,9
001592860,1950,60,7
001592861,1950,322,4
001592862,1951,347,4
001592886,1928,198,10
001592894,1944,589,9
001592904,1947,641,3
001592927,1938,81,9
001592929,1936,628,7
001592932,1939,609,9
001592933,1936,218,7
001592934,1934,545,9
001592935,1938,181,7
001592936,1936,636,7
001592937,1939,342,9
001592938,1935,619,7
001592939,1947,322,7
001592957,1935,609,9
001592962,1941,585,9
001592968,1939,615,7
001593041,1943,74,9
001593042,1943,131,9
001593043,1903,172,9
001593044,1943,229,9
001593045,1943,293,9
001593046,1943,402,7
001593047,1936,284,7
001593049,1936,424,7
001593054,1943,505,9
001593056,1935,564,7
001593057,1948,141,7
001593058,1942,121,9
001593059,1942,182,9
001593060,1948,27,7
001593061,1948,318,7
001593068,1940,68,9
001593071,1946,243,9
001593072,1946,434,7
001593078,1941,246,9
001593097,1947,180,7
001593099,1938,501,9
001593103,1945,49,9
001593135,1935,598,7
001593138,1937,643,9
001593139,1935,331,9
001593140,1936,238,7
001593141,1936,241,1
001593146,1944,356,7
001593147,1946,365,7
001593148,1944,480,9
001593149,1941,409,7
001593150,1947,172,7
001593151,1947,135,7
001593152,1947,66,3
001593154,1938,508,9
001593155,1939,338,9
001593156,1938,387,7
001593157,1938,44,9
001593159,1940,9,7
001593162,1936,623,9
001593166,1936,242,9
001593167,1937,646,9
001593169,1945,118,9
001593170,1937,536,9
001593171,1937,370,7
001593175,1937,412,9
001593176,1943,259,9
001593277,1941,189,7
001593278,1941,598,10
001593279,1948,407,7
001593308,1938,161,7
001593327,1944,589,3
001593378,1938,618,9
001593508,1943,318,7
001593509,1943,124,9
001593560,1937,628,19
001593561,1937,639,9
001593562,1937,37,8
001593715,1945,7,7
001593741,1936,580,7
001593744,1938,216,9
001593749,1943,468,9
001593750,1944,272,9
001593751,1943,621,9
001593752,1945,45,9
001593753,1945,107,9
001593754,1945,190,9
001593755,1945,203,9
001593761,1942,494,7
001593762,1942,171,5
001593772,1943,237,14
001593773,1943,31,5
001593774,1943,7,2
001593827,1939,574,2
001593858,1936,403,9
001593859,1936,218,7
001593883,1944,510,9
001593888,1945,88,9
001593896,1939,235,10
001593898,1937,600,7
001593899,1935,274,7
001593908,1938,6,9
001593911,1938,146,9
001593918,1937,1,9
001593955,1936,46,7
001593970,1938,31,7
001593982,1939,455,5
001593983,1939,383,2
001593984,1939,227,7
001593985,1939,6,11
001593987,1938,372,9
001593988,1938,282,5
001593989,1938,263,7
001594000,1947,581,10
001594001,1947,566,2
001594002,1947,300,7
001594003,1947,193,10
001594010,1942,608,5
001594011,1942,95,7
001594012,1942,47,9
001594013,1942,67,7
001594014,1942,17,7
001594022,1917,333,1
001594029,1935,424,2
001594030,1935,495,7
001594053,1933,202,7
001594059,1938,33,9
001594072,1935,370,7
001594073,1935,59,7
001594077,1941,518,10
001594091,1948,573,9
001594125,1933,596,7
001594126,1939,451,7
001594135,1947,129,9
001594168,1947,20,7
001594187,1943,189,9
001594197,1944,115,9
001594198,1946,612,4
001594199,1946,335,9
001594200,1946,327,1
001594201,1946,309,7
001594202,1946,477,7
001594203,1944,649,9
001594204,1944,612,10
001594214,1944,515,9
001594215,1944,406,9
001594230,1944,653,9
001594262,1947,139,3
001594263,1947,63,4
001594264,1947,16,2
001594273,1940,437,7
001594279,1946,286,7
001594282,1951,252,4
001594293,1932,536,7
001594313,1949,23,7
001594314,1949,213,9
001594315,1949,125,4
001594333,1938,109,5
001594422,1936,1,NaN
001594501,1936,565,7
001594585,1938,398,9
001594588,1937,427,9
001594603,1936,533,9
001594610,1949,16,7
001594611,1904,303,2
001594623,1929,427,9
001594639,1942,91,9
001594640,1942,110,7
001594641,1939,557,9
001594657,1949,207,7
001594658,1949,521,10
001594659,1949,94,7
001594660,1949,454,7
001594661,1950,294,4
