,101,Rok,Cislo,Strana,URL
66,1587141,1937,36.0,5.0,https://www.ndk.cz/view/uuid:6aa9f9c0-2cda-11dd-b32a-000d606f5dc6?page=uuid:3e88be21-8585-434b-894d-fc1fec3d1e3d
67,1587143,1937,217.0,2.0,https://www.ndk.cz/view/uuid:61b40460-3099-11dd-a204-000d606f5dc6?page=uuid:6fbf13b7-de1f-4c58-acf2-3ebf2c14a2c5
68,1587152,1945,74.0,2.0,https://www.ndk.cz/view/uuid:b769f770-63f7-11dd-a214-000d606f5dc6?page=uuid:265fed96-f578-471f-b41a-869ad318d68c
69,1587170,1936,565.0,1.0,https://www.ndk.cz/view/uuid:ce332690-3411-11dd-a4c1-000d606f5dc6?page=uuid:e06a5b73-a5aa-4868-8e97-676ddcddb8c1
70,1587176,1936,367.0,4.0,https://www.ndk.cz/view/uuid:efde9e40-30de-11dd-9104-000d606f5dc6?page=uuid:0a7237b2-83c0-4950-8ba9-6c70f77c6b19
71,1587288,1918,10.0,3.0,https://www.ndk.cz/view/uuid:25386ee0-61e6-11dc-b3a1-000d606f5dc6?page=uuid:eb79d590-eaed-44fe-bb94-e571e15a08a8
72,1587289,1933,569.0,2.0,https://www.ndk.cz/view/uuid:da269960-fc9d-11dc-85c2-000d606f5dc6?page=uuid:f339e0be-6f21-4764-8448-152d4149eb4c
73,1587296,1935,616.0,6.0,https://www.ndk.cz/view/uuid:a975c340-2696-11dd-851f-000d606f5dc6?page=uuid:2f4cf4f0-6f5f-4e1d-946a-5cac6f81bf1d
74,1587308,1935,498.0,3.0,https://www.ndk.cz/view/uuid:cc31c060-25af-11dd-add9-000d606f5dc6?page=uuid:6c8e2d88-1262-4b74-879a-b8fc2139d91d
75,1590334,1935,498.0,3.0,https://www.ndk.cz/view/uuid:cc31c060-25af-11dd-add9-000d606f5dc6?page=uuid:6c8e2d88-1262-4b74-879a-b8fc2139d91d
76,1587848,1918,221.0,1.0,https://www.ndk.cz/view/uuid:25802640-61e6-11dc-bf4e-000d606f5dc6?page=uuid:87d7f81a-7e70-4e1b-b02f-8b92131dc249
