001584678,47:18<7
001584681,39:465<2
001584703,46:235<7
001584709,39:344<9
001584720,44:156<9
001584749,47:549<6
001584754,47:622<6
001584859,45:395<5
001584922,43:94<9
001584927,47:61<7
001584936,29:626<7
001584972,48:259<7
001584973,47:464<7
001584974,48:482<9
001584978,45:475<9
001585005,34:545<10
001585012,35:645<7
001585034,48:602<7
001585036,45:619<7
001585038,45:528<7
001585043,48:482<9
001585051,37:389<9
001585054,35:607<7
001585146,36:507<7
001585151,3:24<3
001585165,39:566<7
001585336,39:316<9
001585337,39:446<9
001585441,29:496<7
001585460,9:169<3
001585478,47:383<2
001585529,39:331<7
001585578,40:371<7
001585632,17:1<4
001585654,50:138<7
001585656,50:29<7
001585659,49:85<9
001585661,49:8<4
001585662,48:626<4
001585673,48:565<7
001585674,48:564<3
001585675,48:658<7
001585676,48:138<9
001585677,48:189<4
001585678,48:201<9
001585679,48:238<4
001585680,48:326<9
001585681,48:127<4
001585682,48:80<3
001585683,48:1/2<2
001585684,47:198<7
001585685,46:606<2
001585686,46:586<4
001585687,46:559<9
001585688,47:233<7
001585689,47:290<4
001585690,47:553<7
001585691,51:22<4
001585692,48:496<4
001585693,48:508<9
001585694,47:26<9
001585695,47:53<4
001585696,47:55<7
001585697,47:83<7
001585698,47:137<7
001585700,46:40<6
001585701,46:50<7
001585702,46:74<7
001585703,46:549<2
001585704,46:558<2
001585717,46:224<7
001585718,46:239<7
001585775,50:516<4
001585776,49:218<7
001585777,48:498<7
001585778,47:392<7
001585779,47:568<9
001585780,28:578<9
001585819,36:338<7
001585827,37:547<9
001585833,43:187<9
001585834,43:204<9
001585835,43:356<7
001585836,43:413<2
001585841,43:625<9
001585888,36:345<7
001585918,33:359<7
001585944,9:226<7
001585956,18:254<2
001585959,48:135<7
001585960,42:184<7
001585974,47:277<10
001585975,47:421<7
001585976,47:551<7
001585977,40:1<9
001585978,9:113<2
001585979,9:112<3
001585980,40:469<7
001586001,47:146<3
001586019,41:450<9
001586046,46:102<7
001586052,43:9<10
001586053,43:318<7
001586054,43:552<9
001586060,45:127<7
001586068,46:462<9
001586072,43:79<9
001586073,48:517<7
001586084,48:81<7
001586085,48:495<9
001586086,43:524<9
001586087,45:47<9
001586088,46:85<7
001586092,4:51<2
001586094,38:159<5
001586120,41:488<9
001586125,44:330<9
001586128,43:22<9
001586131,45:2<7
001586162,19:73<4
001586165,18:11<2
001586193,44:224<2
001586303,24:74<1
001586305,39:418<1
001586320,37:527<9
001586321,43:407<7
001586324,47:139<6
001586325,43:565<9
001586338,36:652<8
001586363,41:450<2
001586390,47:1<7
001586392,44:473<9
001586399,41:224<7
001586400,41:615<3
001586401,41:593<16
001586402,41:441<10
001586403,41:376<5
001586406,41:1<1
001586408,41:1<48
001586410,38:503<7
001586413,41:1<38
001586414,46:513<2
001586415,38:120<13
001586416,44:646<12
001586417,44:612<7
001586418,44:591<5
001586420,38:385<9
001586421,38:316<6
001586422,38:306<2
001586423,38:57<7
001586424,39:634<1
001586425,39:634<4
001586426,39:636<1
001586427,39:647<1
001586428,39:383<7
001586429,47:607<7
001586440,43:129<9
001586443,45:564<7
001586459,35:109<7
001586460,35:368<7
001586464,42:650<7
001586465,42:590<9
001586466,42:533<9
001586467,42:284<9
001586468,47:264<7
001586469,47:422<3
001586484,39:357<9
001586485,39:364<9
001586486,39:575<9
001586487,38:66<9
001586489,40:608<9
001586498,42:173<9
001586499,42:117<9
001586516,43:569<9
001586517,36:156<7
001586534,43:544<9
001586556,45:384<7
001586557,45:378<4
001586562,40:263<9
001586563,36:265<7
001586564,36:377<9
001586630,46:296<3
001586631,44:106<9
001586632,44:352<7
001586647,46:618<7
001586648,46:8<7
001586649,46:528<6
001586650,46:246<2
001586651,44:615<9
001586674,38:536<9
001586677,41:65<10
001586680,47:12<2
001586684,29:624<7
001586691,41:354<7
001586693,41:583<9
001586694,41:122<9
001586695,41:295<9
001586702,19:82<1
001586734,10:238<1
001586790,45:116<8
001586797,45:656<7
001586825,9:58<5
001586841,45:3<3
001586872,33:103<7
001586890,37:60<9
001586891,37:486<10
001586917,48:333<7
001586918,47:507<7
001586919,46:603<7
001586920,44:128<9
001586936,40:79<9
001586937,47:412<3
001586938,47:350<2
001586952,41:96<1
001586965,41:439<9
001586994,25:1<1
001586995,38:68<9
001586997,44:89<9
001586998,1:18<2
001587011,39:227<7
001587012,39:505<12
001587013,39:555<9
001587015,11:190<6
001587037,35:464<7
001587132,35:101<2
001587133,35:647<21
001587134,39:642<3
001587141,37:36<5
001587142,37:138<4
001587143,37:217<2
