Rok,Cislo,Strana,URL
1936,597,9,https://www.ndk.cz/view/uuid:3ed22700-3626-11dd-9292-000d606f5dc6?page=uuid:9d04911a-c1d0-4839-845b-1c3a81f7b52c
1936,548,7,https://www.ndk.cz/view/uuid:f438c0b0-333b-11dd-81ff-000d606f5dc6?page=uuid:65827867-916b-475b-92db-63b64e442f95
1936,572,10,https://www.ndk.cz/view/uuid:26a1a160-3414-11dd-88d4-000d606f5dc6?page=uuid:83d72dfd-6b26-48e6-a254-144d7fd9c34d
1936,507,6,https://www.ndk.cz/view/uuid:4ff6b3e0-378c-11dd-9e9b-000d606f5dc6?page=uuid:7912d3cc-0d80-4c2c-9465-5f9fd68c4361
1936,596,6,https://www.ndk.cz/view/uuid:13ac50a0-3626-11dd-b9f8-000d606f5dc6?page=uuid:a07bf8c2-2796-4800-a401-28b6674aa319
1936,371,4,https://www.ndk.cz/view/uuid:43ab6850-30df-11dd-8a00-000d606f5dc6?page=uuid:ef51238c-6e5d-4125-a674-67bfb012d278
1935,645,14,https://www.ndk.cz/view/uuid:159a3240-26a1-11dd-8720-000d606f5dc6?page=uuid:ab9d9188-1617-46ad-ab21-3a6721cb5afa
1935,103,12,https://www.ndk.cz/view/uuid:0cdbf640-20be-11dd-9ea9-000d606f5dc6?page=uuid:ae31c100-64ec-438a-8adf-879dc748cc91
1935,9,4,https://www.ndk.cz/view/uuid:9b1788d0-1c5d-11dd-b14b-000d606f5dc6?page=uuid:3bc9775c-ed82-41f8-8bf5-9ef555a974e9
1935,305,4,https://www.ndk.cz/view/uuid:91ea1430-25b8-11dd-b48e-000d606f5dc6?page=uuid:d34c821e-a902-4b03-9fec-d79735b49b12
1935,433,4,https://www.ndk.cz/view/uuid:b1e11c90-2750-11dd-901f-000d606f5dc6?page=uuid:23ba0e2c-f12a-4abf-b9e1-1fa0260c7581
1935,255,17,https://www.ndk.cz/view/uuid:ad76d6f0-2687-11dd-9d06-000d606f5dc6?page=uuid:51e3126d-f143-4efc-b85a-a1c572549283
1935,180,2,https://www.ndk.cz/view/uuid:cf330870-224c-11dd-9c55-000d606f5dc6?page=uuid:609fe6dd-94d9-4db8-a251-19908ef43ee5
1935,61,3,https://www.ndk.cz/view/uuid:d9a5bcf0-20b5-11dd-b375-000d606f5dc6?page=uuid:a28d1534-941d-40e6-b190-069579f15d30
1935,265,12,https://www.ndk.cz/view/uuid:ba319070-2681-11dd-8a45-000d606f5dc6?page=uuid:fd6158a5-c98e-41a9-b6a0-6cebef84e7b3
1935,457,6,https://www.ndk.cz/view/uuid:43013b90-25dc-11dd-bef9-000d606f5dc6?page=uuid:307941d7-de1d-45df-880e-2c324ad9126d
1935,202,1,https://www.ndk.cz/view/uuid:c2136e70-2259-11dd-a206-000d606f5dc6?page=uuid:f1874ca2-1842-4709-abb1-e7bfddf9ddab
1935,646,5,https://www.ndk.cz/view/uuid:34002dc0-26a1-11dd-b64b-000d606f5dc6?page=uuid:4fd1b52d-33e7-44df-82d5-3d03eb7a717e
1935,262,2,https://www.ndk.cz/view/uuid:ccff3260-2687-11dd-a719-000d606f5dc6?page=uuid:beb8af4b-e50a-44e8-a881-4b2c8ef2d862
1935,223,2,https://www.ndk.cz/view/uuid:7ffad970-25b4-11dd-b9cf-000d606f5dc6?page=uuid:4fba9d16-6d75-475a-abbb-8599574091d4
1935,153,4,https://www.ndk.cz/view/uuid:6c2cfe70-1dbf-11dd-95cd-000d606f5dc6?page=uuid:e656bf80-2435-4a61-ae40-487d57a980b9
1935,406,10,https://www.ndk.cz/view/uuid:28aad6c0-274e-11dd-b505-000d606f5dc6?page=uuid:64421502-20c1-4bf3-b6a1-5c22c9e3fd5d
1935,535,12,https://www.ndk.cz/view/uuid:cf0e8c90-2696-11dd-9591-000d606f5dc6?page=uuid:0316a5c2-c180-4373-9f3b-4241577b9f1c
1935,535,9,https://www.ndk.cz/view/uuid:cf0e8c90-2696-11dd-9591-000d606f5dc6?page=uuid:8fe68a56-e900-4635-b379-b6e7b8f4212d
1935,170,10,https://www.ndk.cz/view/uuid:1a100c10-2245-11dd-8845-000d606f5dc6?page=uuid:45c8be2a-3b0a-4ee7-b61b-ebc323ca86df
1936,197,13,https://www.ndk.cz/view/uuid:fdb67970-2e18-11dd-84ab-000d606f5dc6?page=uuid:eceb015b-a26a-485a-8b9d-e84281ae1111
1936,106,6,https://www.ndk.cz/view/uuid:11502800-280b-11dd-a580-000d606f5dc6?page=uuid:c989cd18-c232-4a78-98de-fadfbe05e1a9
1936,506,7,https://www.ndk.cz/view/uuid:4a39bd30-378c-11dd-9ad8-000d606f5dc6?page=uuid:cc828cdb-c2f7-4e42-8ac7-128d86fe2d4f
